id,casts,commentCount,countries,directors,durations,genres,languages,originalTitle,pubDate,ratingCount,summary,title,totalRating,writers,year
1,Viola Davis,0,2006-10-23 (US),Joe Russo,171,Love,English,Black Panther,null,23001,"{""images"":{ ""small"":""https://lumiere-a.akamaihd.net/v1/images/r_blackpanther_nowonhero_e6434d76.jpeg?region=0,0,2048,832""}}",Black Panther,220808,Joe Russo,2006
2,"Michelle Rodriguez, Elizabeth Debicki",0,2007-10-11 (US),Rich Moore,142,Love,English,Ant Man,null,23002,"{""images"":{ ""small"":""https://lumiere-a.akamaihd.net/v1/images/r_antmanandthewasp_header_ddt-17228_6b512319.jpeg?region=0,0,2048,734&optimize=true""}}"" Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",Ant Man,223118,Rich Moore,2007
3,"John C. Reilly, Sarah Silverman, Gal Gadot",0,2016-09-11 (UK),"Phil Johnston, Rich Moore",152,Animation,English,Ralph Breaks the Internet,null,23003,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTYyNzEyNDAzOV5BMl5BanBnXkFtZTgwNTk3NDczNjM@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" In order to save the video game Sweet Sprint where the naughty girl Yunilup (voiced by Sarah Swarman) is located, the game villain destroys Wang Ralph (voiced by John C. Riley) and Yunilup Internet, looking for key accessories for the game. Ralph and Yunilup, who are at a loss, are on the way with the help of various online citizens. They also meet the core of the hottest website explosions - entrepreneurial sisters (Taraji P. Hansen Dubbing) and the frenzy car online game in the gritty female rider flash sister (Gail Jiadu dubbing).",Ralph Breaks the Internet,223118,"Phil Johnston, Rich Moore",2016
4,Gal Gadot,0,2008-09-11 (US),Steve McQueen,131,Comedy,English,Christopher Robin,null,23004,"{""images"":{ ""small"":""https://p1.hiclipart.com/preview/173/70/520/movie-collection-folder-icon-part-41-christopher-robin-v2-256x256-png-clipart.jpg""}}"" A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",Christopher Robin,223118,Steve McQueen,2008
5,"Viola Davis, Michelle Rodriguez, Elizabeth Debicki",0,2008-01-22 (UK),Bradley Cooper,130,Crime,English,Widows,null,23005,"{""images"":{ ""small"":""https://m.media-amazon.com/images/I/517KWECKpgL._AA256_.jpg""}}"" From Academy Award (R)-winning director Steve McQueen ('12 Years a Slave') and co-writer and bestselling author Gillian Flynn ('Gone Girl') comes a blistering, modern-day thriller set against the backdrop of crime, passion and corruption. 'Widows' is the story of four women with nothing in common except a debt left behind by their dead husbands' criminal activities. Set in contemporary Chicago, amid a time of turmoil, tensions build when Veronica (Oscar (R) winner Viola Davis), Alice (Elizabeth Debicki), Linda (Michelle Rodriguez) and Belle (Cynthia Erivo) take their fate into their own hands and conspire to forge a future on their own terms. 'Widows' also stars Liam Neeson, Colin Farrell, Robert Duvall, Daniel Kaluuya, Lukas Haas and Brian Tyree Henry.",Widows,223118,Bradley Cooper,2008
6,"Lady Gaga, Bradley Cooper, Sam Elliott",0,2016-05-12 (US),Ruben Fleischer,130,Love,English,A Star Is Born,null,23006,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjE3MDQ0MTA3M15BMl5BanBnXkFtZTgwMDMwNDY2NTM@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" In 'A Star Is Born,' Bradley Cooper and Lady Gaga fuse their considerable talents to depict the raw and passionate tale of Jack and Ally, two artistic souls coming together, on stage and in life. Theirs is a complex journey through the beauty and the heartbreak of a relationship struggling to survive. In this new take on the iconic love story, four-time Oscar nominee Cooper ('American Sniper,' 'American Hustle,' 'Silver Linings Playbook'), makes his directorial debut, and also stars alongside multiple award-winning, Oscar-nominated music superstar Gaga in her first leading role in a major motion picture. Cooper portrays seasoned musician Jackson Maine, who discovers and falls in love with struggling artist Ally. She has given up on her dream to become a successful singer, until she meets Jack, who immediately sees her natural talent.",A Star Is Born,223118,Ruben Fleischer,2016
7,"Tom Hardy, Michelle Williams, Riz Ahmed",0,2016-03-10 (US),James Wan,120,Superhero,English,Venom,null,23007,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BNzAwNzUzNjY4MV5BMl5BanBnXkFtZTgwMTQ5MzM0NjM@._V1_.jpg""}}"" Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of an alien symbiote that gives him a violent super alter-ego: Venom. Soon, he must rely on his newfound powers to protect the world from a shadowy organisation looking for a symbiote of their own.",Venom,223118,James Wan,2016
8," Jason Momoa, Amber Heard, Dolph Lundgren",0,2016-04-20 (US),"Anthony Russo, Joe Russo",110,Superhero,English,Aquaman,null,23008,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and be a hero to the world.",Aquaman,223118,"Anthony Russo, Joe Russo",2016
9,"Chris Evans, Robert Downey Jr., Scarlett Johansson",0,2015-12-10 (US), David Leitch,96,Superhero,English,Captain America: Civil War,null,23009,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" Marvel's 'Captain America: Civil War' finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps-one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark's surprising decision to support government oversight and accountability.",Captain America: Civil War,223118, David Leitch,2015
10," Ryan Reynolds, Josh Brolin, Morena Baccarin",0,2009-04-30 (US), Christopher Nolan,120,Superhero,English,Deadpool 2,null,23010,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BNjk1Njk3YjctMmMyYS00Y2I4LThhMzktN2U0MTMyZTFlYWQ5XkEyXkFqcGdeQXVyODM2ODEzMDA@._V1_.jpg""}}"" Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.",Deadpool 2,223118, Christopher Nolan,2009
